geometry,name,types,vicinity,latitude,longitude,distance,lifeline_number,lifeline_category
"{'location': {'lat': 39.65467940000001, 'lng': -104.9990508}, 'viewport': {'northeast': {'lat': 39.6561294802915, 'lng': -104.9974939697085}, 'southwest': {'lat': 39.6534315197085, 'lng': -105.0001919302915}}}",Englewood Municipal Court,"['courthouse', 'local_government_office']","1000 Englewood Parkway, Englewood",39.65467940000001,-104.9990508,9.4427,1,safety_security
"{'location': {'lat': 39.656271, 'lng': -105.0485742}, 'viewport': {'northeast': {'lat': 39.6575717802915, 'lng': -105.0473436697085}, 'southwest': {'lat': 39.6548738197085, 'lng': -105.0500416302915}}}",Denver Motor Vehicle Department,['local_government_office'],"3100 South Sheridan Boulevard, Denver",39.656271,-105.0485742,10.4998,1,safety_security
"{'location': {'lat': 39.6564075, 'lng': -105.054767}, 'viewport': {'northeast': {'lat': 39.6578488302915, 'lng': -105.0534175697085}, 'southwest': {'lat': 39.6551508697085, 'lng': -105.0561155302915}}}",Consulate General of Denmark,['embassy'],"5353 West Dartmouth Avenue # 508, Denver",39.6564075,-105.054767,10.7493,1,safety_security
"{'location': {'lat': 39.6619199, 'lng': -104.9557136}, 'viewport': {'northeast': {'lat': 39.6634431302915, 'lng': -104.9541304197085}, 'southwest': {'lat': 39.66074516970851, 'lng': -104.9568283802915}}}",Slavens Elementary School,"['primary_school', 'school']","3000 South Clayton Street, Denver",39.6619199,-104.9557136,9.1007,1,safety_security
"{'location': {'lat': 39.6640203, 'lng': -105.0181876}, 'viewport': {'northeast': {'lat': 39.6653688302915, 'lng': -105.0167307197085}, 'southwest': {'lat': 39.66267086970851, 'lng': -105.0194286802915}}}",Al-Zahraa Islamic Center,"['mosque', 'place_of_worship']","2885 South Bryant Street, Denver",39.6640203,-105.0181876,8.7079,1,safety_security
"{'location': {'lat': 39.66519050000001, 'lng': -104.9373239}, 'viewport': {'northeast': {'lat': 39.6664511302915, 'lng': -104.9360580697085}, 'southwest': {'lat': 39.6637531697085, 'lng': -104.9387560302915}}}",Denver Public Library: Ross-University Hills Branch Library,['library'],"4310 East Amherst Avenue, Denver",39.66519050000001,-104.9373239,9.4067,1,safety_security
"{'location': {'lat': 39.670102, 'lng': -104.9748268}, 'viewport': {'northeast': {'lat': 39.6712982802915, 'lng': -104.9736707197085}, 'southwest': {'lat': 39.6686003197085, 'lng': -104.9763686802915}}}",Harley E Rice Memorial Med Library,['library'],"2525 South Downing Street, Denver",39.670102,-104.9748268,7.8083,1,safety_security
"{'location': {'lat': 39.6721534, 'lng': -104.792771}, 'viewport': {'northeast': {'lat': 39.6735635802915, 'lng': -104.7914211197085}, 'southwest': {'lat': 39.6708656197085, 'lng': -104.7941190802915}}}",masjid in Boulder co,"['mosque', 'place_of_worship']","16786 East Iliff Avenue, Aurora",39.6721534,-104.792771,18.4875,1,safety_security
"{'location': {'lat': 39.67350789999999, 'lng': -104.7928242}, 'viewport': {'northeast': {'lat': 39.6749018302915, 'lng': -104.7914732697085}, 'southwest': {'lat': 39.6722038697085, 'lng': -104.7941712302915}}}",Colorado Islamic Center,"['mosque', 'place_of_worship']","16786 East Iliff Avenue, Aurora",39.67350789999999,-104.7928242,18.4227,1,safety_security
"{'location': {'lat': 39.67422260000001, 'lng': -104.9599679}, 'viewport': {'northeast': {'lat': 39.6758700302915, 'lng': -104.9586293197085}, 'southwest': {'lat': 39.6731720697085, 'lng': -104.9613272802915}}}",Lamont School of Music,['university'],"2344 East Iliff Avenue, Denver",39.67422260000001,-104.9599679,7.6877,1,safety_security
"{'location': {'lat': 39.6761358, 'lng': -104.888443}, 'viewport': {'northeast': {'lat': 39.67735768029149, 'lng': -104.8872781197085}, 'southwest': {'lat': 39.67465971970849, 'lng': -104.8899760802915}}}",Congregation Roeh Israel,"['synagogue', 'church', 'place_of_worship']","8556 East Warren Avenue, Denver",39.6761358,-104.888443,11.1961,1,safety_security
"{'location': {'lat': 39.6766174, 'lng': -104.9618965}, 'viewport': {'northeast': {'lat': 39.67940905, 'lng': -104.95680195}, 'southwest': {'lat': 39.67568685000001, 'lng': -104.96786615}}}",University of Denver,['university'],"2199 South University Boulevard, Denver",39.6766174,-104.9618965,7.3813,1,safety_security
"{'location': {'lat': 39.6776025, 'lng': -104.9359758}, 'viewport': {'northeast': {'lat': 39.6788882302915, 'lng': -104.9346261697085}, 'southwest': {'lat': 39.67619026970851, 'lng': -104.9373241302915}}}",Denver Islamic Society,"['mosque', 'place_of_worship', 'school']","2124 South Birch Street #5024, Denver",39.6776025,-104.9359758,8.287,1,safety_security
"{'location': {'lat': 39.6776428, 'lng': -104.9212998}, 'viewport': {'northeast': {'lat': 39.6789446302915, 'lng': -104.9199535197085}, 'southwest': {'lat': 39.6762466697085, 'lng': -104.9226514802915}}}",Lady Fatima Center,"['mosque', 'place_of_worship']","2120 South Holly Street, Denver",39.6776428,-104.9212998,9.0485,1,safety_security
